interval,interval_id,b_age,t_age,mid_age,setting,area_of_exposure,area_of_sedimentation,area_flooded,percent_flooded,id
PLIOCENE,10,5.333,2.588,3.9605,GEOSYNCLINES ,1.32,1.58,0.99,34,2
MIOCENE,13,23.03,5.333,14.1815,GEOSYNCLINES ,0.74,2.13,2.1,73,6
OLIGOCENE,21,33.9,23.03,28.465,GEOSYNCLINES ,1.76,3.91,3.58,63,10
EOCENE,24,56,33.9,44.95,GEOSYNCLINES ,2.27,7.95,7.18,70,14
PALEOCENE,29,66,56,61,GEOSYNCLINES ,3.82,6.13,6.03,61,18
LATE CRETACEOUS,34,100.5,66,83.25,GEOSYNCLINES ,1.37,16.82,14.53,80,22
EARLY CRETACEOUS,41,145,100.5,122.75,GEOSYNCLINES ,3.55,18.76,15.12,70,26
LATE JURASSIC,49,163.5,145,154.25,GEOSYNCLINES ,4.91,16.05,14.1,67,30
MIDDLE JURASSIC,53,174.1,163.5,168.8,GEOSYNCLINES ,2.29,12.76,12.49,83,34
EARLY JURASSIC,58,201.3,174.1,187.7,GEOSYNCLINES ,1.54,10.93,10.86,87,38
LATE TRIASSIC,64,237,201.3,219.15,GEOSYNCLINES ,1.56,13.63,13.27,87,42
MIDDLE TRIASSIC,68,247.2,237,242.1,GEOSYNCLINES ,1.69,11.57,11.36,86,46
EARLY TRIASSIC,213,252.17,247.2,249.685,GEOSYNCLINES ,1.94,10.22,9.96,82,50
LATE PERMIAN,76,272.3,252.17,262.235,GEOSYNCLINES ,1.07,9.23,8.94,86,54
EARLY PERMIAN,80,298.9,272.3,285.6,GEOSYNCLINES ,0.98,9.36,9.18,89,58
LATE AND MIDDLE CARBONIFEROUS,991,323.2,298.9,311.05,GEOSYNCLINES ,1.02,9.66,9.46,89,62
EARLY CARBONIFEROUS (MISSISSIPPIAN),990,358.9,323.2,341.05,GEOSYNCLINES ,2.38,17.63,17.28,86,66
LATE DEVONIAN,95,382.7,358.9,370.8,GEOSYNCLINES ,2.5,18.55,17.99,85,70
MIDDLE DEVONIAN,98,393.3,382.7,388,GEOSYNCLINES ,1.83,18.82,18.43,89,74
EARLY DEVONIAN,101,419.2,393.3,406.25,GEOSYNCLINES ,2.39,17.48,17.29,87,78
LATE SILURIAN,106,427.4,419.2,423.3,GEOSYNCLINES ,2.89,15.24,14.93,82,82
