Structure Name	Location	Age	Age_Min	Age_Max	Diameter	Erosion_Min	Erosion_Max
Kamil	Egypt	NaN	NaN	NaN	0.045		
Carancas	Peru	0.000007	0.0000063	0.0000077	0.0135		
Sikhote Alin	Russia	0.000067	0.0000603	0.0000737	0.027		
Wabar	Saudi Arabia	0.00014	0.000126	0.000154	0.116		
Haviland	Kansas, U.S.A.	< 0.001	0	0.001	0.015		
Sobolev	Russia	< 0.001	0	0.001	0.053		
Whitecourt	Alberta, Canada	<0.0011	0	0.0011	0.036		
Campo Del Cielo	Argentina	< 0.004	0	0.004	0.05		
Macha	Russia	< 0.007	0	0.007	0.3		
Kaalijärv	Estonia	0.004 ± 0.001	0.003	0.005	0.11		
Henbury	Northern Territory, Australia	0.0042 ± 0.0019	0.0023	0.0061	0.157		
Morasko	Poland	< 0.01	0	0.01	0.1		
Boxhole	Libya	0.0054± 0.0015	0.0039	0.0069	0.17		
Ilumetsä	Estonia	0.0066	0.0033	0.0099	0.08		
Tenoumer	Mauritania	0.0214 ± 0.0097	0.0117	0.0311	1.9		
Odessa	Texas, U.S.A.	< 0.0635	0	0.0635	0.168		
Barringer	Montana, U.S.A.	0.049 ± 0.003	0.046	0.052	1.19		
Amguid	Algeria	< 0.1	0	0.1	0.45		
Rio Cuarto	Argentina	< 0.1	0	0.1	4.5		
Lonar	India	0.052 ± 0.006	0.046	0.058	1.83		
Agoudal	Morocco	0.105 ± 0.04	0.065	0.145	3		
Wolfe Creek	Western Australia	< 0.3	0	0.3	0.875		
Tswaing (formerly Pretoria Saltpan)	South Africa	0.220 ± 0.052	0.168	0.272	1.13		
Kalkkop	South Africa	0.250 ± 0.050	0.2	0.3	0.64		
Dalgaranga	Western Australia	0.27	0.135	0.405	0.024		
Monturaqui	Chile	< 1	0	1	0.46		
Veevers	Western Australia	< 1	0	1	0.08		
Xiuyan	China	> 0.05	0.05	1	1.8		
Zhamanshin	Kazakhstan	0.9 ± 0.1	0.8	1	14		
Bosumtwi	Northern Territory, Australia	1.07	0.963	1.177	10.5		
New Quebec	North Dakota, U.S.A.	1.4 ± 0.1	1.3	1.5	3.44		
Talemzane	Algeria	< 3	0	3	1.75		
Kara-Kul	Tajikistan	< 5	0	5	52		
Aouelloul	Mauritania	3.0 ± 0.3	2.7	3.3	0.39		
El'gygytgyn	Saskatchewan, Canada	3.5 ± 0.5	3	4	18		
Roter Kamm	Namibia	3.7 ± 0.3	3.4	4	2.5		
Bigach	Ukraine	5 ± 3	2	8	8		
Karla	Russia	5 ± 1	4	6	10		
Steinheim	Germany	15 ± 1	14	16	3.8		
Ries	Germany	15.1 ± 0.1	15	15.2	24		
Colônia	Brazil	>5, <36	5	36	3.6		
Eagle Butte	Alberta, Canada	< 65	0	65	10		
Vista Alegre	Brazil	< 65	0	65	9.5		
Chukcha	Russia	< 70	0	70	6		
Ouarkziz	Algeria	< 70	0	70	3.5		
Chesapeake Bay	Virginia, U.S.A.	35.3 ± 0.1	35.2	35.4	40		
Popigai	Russia	35.7 ± 0.2	35.5	35.9	90	0.05	0.3
Mistastin	Newfoundland/Labrador, Canada	36.4 ± 4	32.4	40.4	28		
Wanapitei	Ontario, Canada	37.2 ± 1.2	36	38.4	7.5		
Haughton	Nunavut, Canada	39	35.1	42.9	23		
Beyenchime-Salaatin	Kazakhstan	40 ± 20	20	60	8		
Logancha	Russia	40 ± 20	20	60	20		
