bin_midpoint,area (km2)
0.5,10183835.45
1.5,10183835.45
2.5,10183835.45
3.5,586391.26
4.5,586391.26
5.5,586391.26
6.5,586391.26
7.5,586391.26
8.5,586391.26
9.5,586391.26
10.5,586391.26
11.5,586391.26
12.5,586391.26
13.5,586391.26
14.5,586391.26
15.5,586391.26
16.5,586391.26
17.5,586391.26
18.5,586391.26
19.5,586391.26
20.5,586391.26
21.5,586391.26
22.5,586391.26
23.5,247770.76
24.5,247770.76
25.5,247770.76
26.5,247770.76
27.5,247770.76
28.5,247770.76
29.5,247770.76
30.5,247770.76
31.5,247770.76
32.5,247770.76
33.5,247770.76
34.5,247770.76
35.5,247770.76
36.5,247770.76
37.5,247770.76
38.5,247770.76
39.5,247770.76
40.5,247770.76
41.5,247770.76
42.5,247770.76
43.5,247770.76
44.5,247770.76
45.5,247770.76
46.5,247770.76
47.5,247770.76
48.5,247770.76
49.5,247770.76
50.5,247770.76
51.5,247770.76
52.5,247770.76
53.5,247770.76
54.5,247770.76
55.5,247770.76
56.5,247770.76
57.5,247770.76
58.5,247770.76
59.5,247770.76
60.5,247770.76
61.5,247770.76
62.5,247770.76
63.5,247770.76
64.5,247770.76
65.5,247770.76
66.5,205310.22
67.5,205310.22
68.5,205310.22
69.5,205310.22
70.5,205310.22
71.5,205310.22
72.5,205310.22
73.5,205310.22
74.5,205310.22
75.5,205310.22
76.5,205310.22
77.5,205310.22
78.5,205310.22
79.5,205310.22
80.5,205310.22
81.5,205310.22
82.5,205310.22
83.5,205310.22
84.5,205310.22
85.5,205310.22
86.5,205310.22
87.5,205310.22
88.5,205310.22
89.5,205310.22
90.5,205310.22
91.5,205310.22
92.5,205310.22
93.5,205310.22
94.5,205310.22
95.5,205310.22
96.5,205310.22
97.5,205310.22
98.5,205310.22
99.5,205310.22
100.5,205310.22
101.5,205310.22
102.5,205310.22
103.5,205310.22
104.5,205310.22
105.5,205310.22
106.5,205310.22
107.5,205310.22
108.5,205310.22
109.5,205310.22
110.5,205310.22
111.5,205310.22
112.5,205310.22
113.5,205310.22
114.5,205310.22
115.5,205310.22
116.5,205310.22
117.5,205310.22
118.5,205310.22
119.5,205310.22
120.5,205310.22
121.5,205310.22
122.5,205310.22
123.5,205310.22
124.5,205310.22
125.5,205310.22
126.5,205310.22
127.5,205310.22
128.5,205310.22
129.5,205310.22
130.5,205310.22
131.5,205310.22
132.5,205310.22
133.5,205310.22
134.5,205310.22
135.5,205310.22
136.5,205310.22
137.5,205310.22
138.5,205310.22
139.5,205310.22
140.5,205310.22
141.5,205310.22
142.5,205310.22
143.5,205310.22
144.5,205310.22
145.5,143793.67
146.5,143793.67
147.5,143793.67
148.5,143793.67
149.5,143793.67
150.5,143793.67
151.5,143793.67
152.5,143793.67
153.5,143793.67
154.5,143793.67
155.5,143793.67
156.5,143793.67
157.5,143793.67
158.5,143793.67
159.5,143793.67
160.5,143793.67
161.5,143793.67
162.5,143793.67
163.5,143793.67
164.5,143793.67
165.5,143793.67
166.5,143793.67
167.5,143793.67
168.5,143793.67
169.5,143793.67
170.5,143793.67
171.5,143793.67
172.5,143793.67
173.5,143793.67
174.5,143793.67
175.5,143793.67
176.5,143793.67
177.5,143793.67
178.5,143793.67
179.5,143793.67
180.5,143793.67
181.5,143793.67
182.5,143793.67
183.5,143793.67
184.5,143793.67
185.5,143793.67
186.5,143793.67
187.5,143793.67
188.5,143793.67
189.5,143793.67
190.5,143793.67
191.5,143793.67
192.5,143793.67
193.5,143793.67
194.5,143793.67
195.5,143793.67
196.5,143793.67
197.5,143793.67
198.5,143793.67
199.5,143793.67
200.5,143793.67
201.5,118976.78
202.5,118976.78
203.5,118976.78
204.5,118976.78
205.5,118976.78
206.5,118976.78
207.5,118976.78
208.5,118976.78
209.5,118976.78
210.5,118976.78
211.5,118976.78
212.5,118976.78
213.5,118976.78
214.5,118976.78
215.5,118976.78
216.5,118976.78
217.5,118976.78
218.5,118976.78
219.5,118976.78
220.5,118976.78
221.5,118976.78
222.5,118976.78
223.5,118976.78
224.5,118976.78
225.5,118976.78
226.5,118976.78
227.5,118976.78
228.5,118976.78
229.5,118976.78
230.5,118976.78
231.5,118976.78
232.5,118976.78
233.5,118976.78
234.5,118976.78
235.5,118976.78
236.5,118976.78
237.5,118976.78
238.5,118976.78
239.5,118976.78
240.5,118976.78
241.5,118976.78
242.5,118976.78
243.5,118976.78
244.5,118976.78
245.5,118976.78
246.5,118976.78
247.5,118976.78
248.5,118976.78
249.5,118976.78
250.5,118976.78
251.5,118976.78
252.5,102216.84
253.5,102216.84
254.5,102216.84
255.5,102216.84
256.5,102216.84
257.5,102216.84
258.5,102216.84
259.5,102216.84
260.5,102216.84
261.5,102216.84
262.5,102216.84
263.5,102216.84
264.5,102216.84
265.5,102216.84
266.5,102216.84
267.5,102216.84
268.5,102216.84
269.5,102216.84
270.5,102216.84
271.5,102216.84
272.5,102216.84
273.5,102216.84
274.5,102216.84
275.5,102216.84
276.5,102216.84
277.5,102216.84
278.5,102216.84
279.5,102216.84
280.5,102216.84
281.5,102216.84
282.5,102216.84
283.5,102216.84
284.5,102216.84
285.5,102216.84
286.5,102216.84
287.5,102216.84
288.5,102216.84
289.5,102216.84
290.5,102216.84
291.5,102216.84
292.5,102216.84
293.5,102216.84
294.5,102216.84
295.5,102216.84
296.5,102216.84
297.5,102216.84
298.5,102216.84
299.5,102216.84
300.5,102216.84
301.5,102216.84
302.5,102216.84
303.5,102216.84
304.5,102216.84
305.5,102216.84
306.5,102216.84
307.5,102216.84
308.5,102216.84
309.5,102216.84
310.5,102216.84
311.5,102216.84
312.5,102216.84
313.5,102216.84
314.5,102216.84
315.5,102216.84
316.5,102216.84
317.5,102216.84
318.5,102216.84
319.5,102216.84
320.5,102216.84
321.5,102216.84
322.5,102216.84
323.5,102216.84
324.5,102216.84
325.5,102216.84
326.5,102216.84
327.5,102216.84
328.5,102216.84
329.5,102216.84
330.5,102216.84
331.5,102216.84
332.5,102216.84
333.5,102216.84
334.5,102216.84
335.5,102216.84
336.5,102216.84
337.5,102216.84
338.5,102216.84
339.5,102216.84
340.5,102216.84
341.5,102216.84
342.5,102216.84
343.5,102216.84
344.5,102216.84
345.5,102216.84
346.5,102216.84
347.5,102216.84
348.5,102216.84
349.5,102216.84
350.5,102216.84
351.5,102216.84
352.5,102216.84
353.5,102216.84
354.5,102216.84
355.5,102216.84
356.5,102216.84
357.5,102216.84
358.5,102216.84
359.5,66256.04
360.5,66256.04
361.5,66256.04
362.5,66256.04
363.5,66256.04
364.5,66256.04
365.5,66256.04
366.5,66256.04
367.5,66256.04
368.5,66256.04
369.5,66256.04
370.5,66256.04
371.5,66256.04
372.5,66256.04
373.5,66256.04
374.5,66256.04
375.5,66256.04
376.5,66256.04
377.5,66256.04
378.5,66256.04
379.5,66256.04
380.5,66256.04
381.5,66256.04
382.5,66256.04
383.5,66256.04
384.5,66256.04
385.5,66256.04
386.5,66256.04
387.5,66256.04
388.5,66256.04
389.5,66256.04
390.5,66256.04
391.5,66256.04
392.5,66256.04
393.5,66256.04
394.5,66256.04
395.5,66256.04
396.5,66256.04
397.5,66256.04
398.5,66256.04
399.5,66256.04
400.5,66256.04
401.5,66256.04
402.5,66256.04
403.5,66256.04
404.5,66256.04
405.5,66256.04
406.5,66256.04
407.5,66256.04
408.5,66256.04
409.5,66256.04
410.5,66256.04
411.5,66256.04
412.5,66256.04
413.5,66256.04
414.5,66256.04
415.5,66256.04
416.5,66256.04
417.5,66256.04
418.5,66256.04
419.5,66256.04
420.5,66256.04
421.5,66256.04
422.5,66256.04
423.5,66256.04
424.5,66256.04
425.5,66256.04
426.5,66256.04
427.5,66256.04
428.5,66256.04
429.5,66256.04
430.5,66256.04
431.5,66256.04
432.5,66256.04
433.5,66256.04
434.5,66256.04
435.5,66256.04
436.5,66256.04
437.5,66256.04
438.5,66256.04
439.5,66256.04
440.5,66256.04
441.5,66256.04
442.5,66256.04
443.5,66256.04
444.5,84901.87
445.5,84901.87
446.5,84901.87
447.5,84901.87
448.5,84901.87
449.5,84901.87
450.5,84901.87
451.5,84901.87
452.5,84901.87
453.5,84901.87
454.5,84901.87
455.5,84901.87
456.5,84901.87
457.5,84901.87
458.5,84901.87
459.5,84901.87
460.5,84901.87
461.5,84901.87
462.5,84901.87
463.5,84901.87
464.5,84901.87
465.5,84901.87
466.5,84901.87
467.5,84901.87
468.5,84901.87
469.5,84901.87
470.5,84901.87
471.5,84901.87
472.5,84901.87
473.5,84901.87
474.5,84901.87
475.5,84901.87
476.5,84901.87
477.5,84901.87
478.5,84901.87
479.5,84901.87
480.5,84901.87
481.5,84901.87
482.5,84901.87
483.5,84901.87
484.5,84901.87
485.5,84901.87
486.5,84901.87
487.5,84901.87
488.5,84901.87
489.5,84901.87
490.5,84901.87
491.5,84901.87
492.5,84901.87
493.5,84901.87
494.5,84901.87
495.5,84901.87
496.5,84901.87
497.5,84901.87
498.5,84901.87
499.5,84901.87
500.5,84901.87
501.5,84901.87
502.5,84901.87
503.5,84901.87
504.5,84901.87
505.5,84901.87
506.5,84901.87
507.5,84901.87
508.5,84901.87
509.5,84901.87
510.5,84901.87
511.5,84901.87
512.5,84901.87
513.5,84901.87
514.5,84901.87
515.5,84901.87
516.5,84901.87
517.5,84901.87
518.5,84901.87
519.5,84901.87
520.5,84901.87
521.5,84901.87
522.5,84901.87
523.5,84901.87
524.5,84901.87
525.5,84901.87
526.5,84901.87
527.5,84901.87
528.5,84901.87
529.5,84901.87
530.5,84901.87
531.5,84901.87
532.5,84901.87
533.5,84901.87
534.5,84901.87
535.5,84901.87
536.5,84901.87
537.5,84901.87
538.5,84901.87
539.5,84901.87
540.5,84901.87
541.5,21081.21
542.5,21081.21
543.5,21081.21
544.5,21081.21
545.5,21081.21
546.5,21081.21
547.5,21081.21
548.5,21081.21
549.5,21081.21
550.5,21081.21
551.5,21081.21
552.5,21081.21
553.5,21081.21
554.5,21081.21
555.5,21081.21
556.5,21081.21
557.5,21081.21
558.5,21081.21
559.5,21081.21
560.5,21081.21
561.5,21081.21
562.5,21081.21
563.5,21081.21
564.5,21081.21
565.5,21081.21
566.5,21081.21
567.5,21081.21
568.5,21081.21
569.5,21081.21
570.5,21081.21
571.5,21081.21
572.5,21081.21
573.5,21081.21
574.5,21081.21
575.5,21081.21
576.5,21081.21
577.5,21081.21
578.5,21081.21
579.5,21081.21
580.5,21081.21
581.5,21081.21
582.5,21081.21
583.5,21081.21
584.5,21081.21
585.5,21081.21
586.5,21081.21
587.5,21081.21
588.5,21081.21
589.5,21081.21
590.5,21081.21
591.5,21081.21
592.5,21081.21
593.5,21081.21
594.5,21081.21
595.5,21081.21
596.5,21081.21
597.5,21081.21
598.5,21081.21
599.5,21081.21
600.5,21081.21
601.5,21081.21
602.5,21081.21
603.5,21081.21
604.5,21081.21
605.5,21081.21
606.5,21081.21
607.5,21081.21
608.5,21081.21
609.5,21081.21
610.5,21081.21
611.5,21081.21
612.5,21081.21
613.5,21081.21
614.5,21081.21
615.5,21081.21
616.5,21081.21
617.5,21081.21
618.5,21081.21
619.5,21081.21
620.5,21081.21
621.5,21081.21
622.5,21081.21
623.5,21081.21
624.5,21081.21
625.5,21081.21
626.5,21081.21
627.5,21081.21
628.5,21081.21
629.5,21081.21
630.5,21081.21
631.5,21081.21
632.5,21081.21
633.5,21081.21
634.5,21081.21
635.5,21081.21
636.5,21081.21
637.5,21081.21
638.5,21081.21
639.5,21081.21
640.5,21081.21
641.5,21081.21
642.5,21081.21
643.5,21081.21
644.5,21081.21
645.5,21081.21
646.5,21081.21
647.5,21081.21
648.5,21081.21
649.5,21081.21
650.5,21081.21
651.5,21081.21
652.5,21081.21
653.5,21081.21
654.5,21081.21
655.5,21081.21
656.5,21081.21
657.5,21081.21
658.5,21081.21
659.5,21081.21
660.5,21081.21
661.5,21081.21
662.5,21081.21
663.5,21081.21
664.5,21081.21
665.5,21081.21
666.5,21081.21
667.5,21081.21
668.5,21081.21
669.5,21081.21
670.5,21081.21
671.5,21081.21
672.5,21081.21
673.5,21081.21
674.5,21081.21
675.5,21081.21
676.5,21081.21
677.5,21081.21
678.5,21081.21
679.5,21081.21
680.5,21081.21
681.5,21081.21
682.5,21081.21
683.5,21081.21
684.5,21081.21
685.5,21081.21
686.5,21081.21
687.5,21081.21
688.5,21081.21
689.5,21081.21
690.5,21081.21
691.5,21081.21
692.5,21081.21
693.5,21081.21
694.5,21081.21
695.5,21081.21
696.5,21081.21
697.5,21081.21
698.5,21081.21
699.5,21081.21
700.5,21081.21
701.5,21081.21
702.5,21081.21
703.5,21081.21
704.5,21081.21
705.5,21081.21
706.5,21081.21
707.5,21081.21
708.5,21081.21
709.5,21081.21
710.5,21081.21
711.5,21081.21
712.5,21081.21
713.5,21081.21
714.5,21081.21
715.5,21081.21
716.5,21081.21
717.5,21081.21
718.5,21081.21
719.5,21081.21
720.5,21081.21
721.5,21081.21
722.5,21081.21
723.5,21081.21
724.5,21081.21
725.5,21081.21
726.5,21081.21
727.5,21081.21
728.5,21081.21
729.5,21081.21
730.5,21081.21
731.5,21081.21
732.5,21081.21
733.5,21081.21
734.5,21081.21
735.5,21081.21
736.5,21081.21
737.5,21081.21
738.5,21081.21
739.5,21081.21
740.5,21081.21
741.5,21081.21
742.5,21081.21
743.5,21081.21
744.5,21081.21
745.5,21081.21
746.5,21081.21
747.5,21081.21
748.5,21081.21
749.5,21081.21
750.5,21081.21
751.5,21081.21
752.5,21081.21
753.5,21081.21
754.5,21081.21
755.5,21081.21
756.5,21081.21
757.5,21081.21
758.5,21081.21
759.5,21081.21
760.5,21081.21
761.5,21081.21
762.5,21081.21
763.5,21081.21
764.5,21081.21
765.5,21081.21
766.5,21081.21
767.5,21081.21
768.5,21081.21
769.5,21081.21
770.5,21081.21
771.5,21081.21
772.5,21081.21
773.5,21081.21
774.5,21081.21
775.5,21081.21
776.5,21081.21
777.5,21081.21
778.5,21081.21
779.5,21081.21
780.5,21081.21
781.5,21081.21
782.5,21081.21
783.5,21081.21
784.5,21081.21
785.5,21081.21
786.5,21081.21
787.5,21081.21
788.5,21081.21
789.5,21081.21
790.5,21081.21
791.5,21081.21
792.5,21081.21
793.5,21081.21
794.5,21081.21
795.5,21081.21
796.5,21081.21
797.5,21081.21
798.5,21081.21
799.5,21081.21
800.5,21081.21
801.5,21081.21
802.5,21081.21
803.5,21081.21
804.5,21081.21
805.5,21081.21
806.5,21081.21
807.5,21081.21
808.5,21081.21
809.5,21081.21
810.5,21081.21
811.5,21081.21
812.5,21081.21
813.5,21081.21
814.5,21081.21
815.5,21081.21
816.5,21081.21
817.5,21081.21
818.5,21081.21
819.5,21081.21
820.5,21081.21
821.5,21081.21
822.5,21081.21
823.5,21081.21
824.5,21081.21
825.5,21081.21
826.5,21081.21
827.5,21081.21
828.5,21081.21
829.5,21081.21
830.5,21081.21
831.5,21081.21
832.5,21081.21
833.5,21081.21
834.5,21081.21
835.5,21081.21
836.5,21081.21
837.5,21081.21
838.5,21081.21
839.5,21081.21
840.5,21081.21
841.5,21081.21
842.5,21081.21
843.5,21081.21
844.5,21081.21
845.5,21081.21
846.5,21081.21
847.5,21081.21
848.5,21081.21
849.5,21081.21
850.5,21081.21
851.5,21081.21
852.5,21081.21
853.5,21081.21
854.5,21081.21
855.5,21081.21
856.5,21081.21
857.5,21081.21
858.5,21081.21
859.5,21081.21
860.5,21081.21
861.5,21081.21
862.5,21081.21
863.5,21081.21
864.5,21081.21
865.5,21081.21
866.5,21081.21
867.5,21081.21
868.5,21081.21
869.5,21081.21
870.5,21081.21
871.5,21081.21
872.5,21081.21
873.5,21081.21
874.5,21081.21
875.5,21081.21
876.5,21081.21
877.5,21081.21
878.5,21081.21
879.5,21081.21
880.5,21081.21
881.5,21081.21
882.5,21081.21
883.5,21081.21
884.5,21081.21
885.5,21081.21
886.5,21081.21
887.5,21081.21
888.5,21081.21
889.5,21081.21
890.5,21081.21
891.5,21081.21
892.5,21081.21
893.5,21081.21
894.5,21081.21
895.5,21081.21
896.5,21081.21
897.5,21081.21
898.5,21081.21
899.5,21081.21
900.5,21081.21
901.5,21081.21
902.5,21081.21
903.5,21081.21
904.5,21081.21
905.5,21081.21
906.5,21081.21
907.5,21081.21
908.5,21081.21
909.5,21081.21
910.5,21081.21
911.5,21081.21
912.5,21081.21
913.5,21081.21
914.5,21081.21
915.5,21081.21
916.5,21081.21
917.5,21081.21
918.5,21081.21
919.5,21081.21
920.5,21081.21
921.5,21081.21
922.5,21081.21
923.5,21081.21
924.5,21081.21
925.5,21081.21
926.5,21081.21
927.5,21081.21
928.5,21081.21
929.5,21081.21
930.5,21081.21
931.5,21081.21
932.5,21081.21
933.5,21081.21
934.5,21081.21
935.5,21081.21
936.5,21081.21
937.5,21081.21
938.5,21081.21
939.5,21081.21
940.5,21081.21
941.5,21081.21
942.5,21081.21
943.5,21081.21
944.5,21081.21
945.5,21081.21
946.5,21081.21
947.5,21081.21
948.5,21081.21
949.5,21081.21
950.5,21081.21
951.5,21081.21
952.5,21081.21
953.5,21081.21
954.5,21081.21
955.5,21081.21
956.5,21081.21
957.5,21081.21
958.5,21081.21
959.5,21081.21
960.5,21081.21
961.5,21081.21
962.5,21081.21
963.5,21081.21
964.5,21081.21
965.5,21081.21
966.5,21081.21
967.5,21081.21
968.5,21081.21
969.5,21081.21
970.5,21081.21
971.5,21081.21
972.5,21081.21
973.5,21081.21
974.5,21081.21
975.5,21081.21
976.5,21081.21
977.5,21081.21
978.5,21081.21
979.5,21081.21
980.5,21081.21
981.5,21081.21
982.5,21081.21
983.5,21081.21
984.5,21081.21
985.5,21081.21
986.5,21081.21
987.5,21081.21
988.5,21081.21
989.5,21081.21
990.5,21081.21
991.5,21081.21
992.5,21081.21
993.5,21081.21
994.5,21081.21
995.5,21081.21
996.5,21081.21
997.5,21081.21
998.5,21081.21
999.5,21081.21
1000.5,11269.11
1001.5,11269.11
1002.5,11269.11
1003.5,11269.11
1004.5,11269.11
1005.5,11269.11
1006.5,11269.11
1007.5,11269.11
1008.5,11269.11
1009.5,11269.11
1010.5,11269.11
1011.5,11269.11
1012.5,11269.11
1013.5,11269.11
1014.5,11269.11
1015.5,11269.11
1016.5,11269.11
1017.5,11269.11
1018.5,11269.11
1019.5,11269.11
1020.5,11269.11
1021.5,11269.11
1022.5,11269.11
1023.5,11269.11
1024.5,11269.11
1025.5,11269.11
1026.5,11269.11
1027.5,11269.11
1028.5,11269.11
1029.5,11269.11
1030.5,11269.11
1031.5,11269.11
1032.5,11269.11
1033.5,11269.11
1034.5,11269.11
1035.5,11269.11
1036.5,11269.11
1037.5,11269.11
1038.5,11269.11
1039.5,11269.11
1040.5,11269.11
1041.5,11269.11
1042.5,11269.11
1043.5,11269.11
1044.5,11269.11
1045.5,11269.11
1046.5,11269.11
1047.5,11269.11
1048.5,11269.11
1049.5,11269.11
1050.5,11269.11
1051.5,11269.11
1052.5,11269.11
1053.5,11269.11
1054.5,11269.11
1055.5,11269.11
1056.5,11269.11
1057.5,11269.11
1058.5,11269.11
1059.5,11269.11
1060.5,11269.11
1061.5,11269.11
1062.5,11269.11
1063.5,11269.11
1064.5,11269.11
1065.5,11269.11
1066.5,11269.11
1067.5,11269.11
1068.5,11269.11
1069.5,11269.11
1070.5,11269.11
1071.5,11269.11
1072.5,11269.11
1073.5,11269.11
1074.5,11269.11
1075.5,11269.11
1076.5,11269.11
1077.5,11269.11
1078.5,11269.11
1079.5,11269.11
1080.5,11269.11
1081.5,11269.11
1082.5,11269.11
1083.5,11269.11
1084.5,11269.11
1085.5,11269.11
1086.5,11269.11
1087.5,11269.11
1088.5,11269.11
1089.5,11269.11
1090.5,11269.11
1091.5,11269.11
1092.5,11269.11
1093.5,11269.11
1094.5,11269.11
1095.5,11269.11
1096.5,11269.11
1097.5,11269.11
1098.5,11269.11
1099.5,11269.11
1100.5,11269.11
1101.5,11269.11
1102.5,11269.11
1103.5,11269.11
1104.5,11269.11
1105.5,11269.11
1106.5,11269.11
1107.5,11269.11
1108.5,11269.11
1109.5,11269.11
1110.5,11269.11
1111.5,11269.11
1112.5,11269.11
1113.5,11269.11
1114.5,11269.11
1115.5,11269.11
1116.5,11269.11
1117.5,11269.11
1118.5,11269.11
1119.5,11269.11
1120.5,11269.11
1121.5,11269.11
1122.5,11269.11
1123.5,11269.11
1124.5,11269.11
1125.5,11269.11
1126.5,11269.11
1127.5,11269.11
1128.5,11269.11
1129.5,11269.11
1130.5,11269.11
1131.5,11269.11
1132.5,11269.11
1133.5,11269.11
1134.5,11269.11
1135.5,11269.11
1136.5,11269.11
1137.5,11269.11
1138.5,11269.11
1139.5,11269.11
1140.5,11269.11
1141.5,11269.11
1142.5,11269.11
1143.5,11269.11
1144.5,11269.11
1145.5,11269.11
1146.5,11269.11
1147.5,11269.11
1148.5,11269.11
1149.5,11269.11
1150.5,11269.11
1151.5,11269.11
1152.5,11269.11
1153.5,11269.11
1154.5,11269.11
1155.5,11269.11
1156.5,11269.11
1157.5,11269.11
1158.5,11269.11
1159.5,11269.11
1160.5,11269.11
1161.5,11269.11
1162.5,11269.11
1163.5,11269.11
1164.5,11269.11
1165.5,11269.11
1166.5,11269.11
1167.5,11269.11
1168.5,11269.11
1169.5,11269.11
1170.5,11269.11
1171.5,11269.11
1172.5,11269.11
1173.5,11269.11
1174.5,11269.11
1175.5,11269.11
1176.5,11269.11
1177.5,11269.11
