BinCenterAge,eHf,ehf_sigma,d18O,d18O_sigma
7.5,-0.690299,1.63395,6.65232,0.344653
22.5,0.414312,1.29724,6.73793,0.285275
37.5,1.51883,1.0369,6.73311,0.252644
52.5,2.36194,0.926288,6.64451,0.217618
67.5,2.60865,0.87965,6.61838,0.173247
82.5,2.10023,0.951829,6.55379,0.140454
97.5,0.739419,1.10101,6.47966,0.122448
112.5,-1.70873,1.22904,6.43196,0.124178
127.5,-3.96588,1.20552,6.47642,0.135332
142.5,-4.54162,1.10942,6.63422,0.150981
157.5,-3.05938,0.996404,6.67143,0.175017
172.5,-1.21516,0.870476,6.58432,0.202233
187.5,0.0655299,0.765647,6.31262,0.237089
202.5,0.56098,0.710208,6.09351,0.2586
217.5,0.606206,0.700756,6.07835,0.262515
232.5,0.897398,0.662783,6.23514,0.259471
247.5,1.34931,0.624701,6.48468,0.244459
262.5,1.89587,0.591054,6.62332,0.22089
277.5,2.43407,0.573664,6.74999,0.196116
292.5,3.13185,0.56014,6.78177,0.189746
307.5,3.68343,0.554961,6.78275,0.194458
322.5,4.52639,0.546571,6.74119,0.222276
337.5,5.1956,0.574216,6.71181,0.249195
352.5,5.41097,0.636579,6.72274,0.249408
367.5,4.53797,0.741721,6.84807,0.232009
382.5,2.3907,0.850887,6.98782,0.21967
397.5,-0.216904,0.866408,7.07677,0.207743
412.5,-2.18846,0.792396,7.25,0.204504
427.5,-2.92344,0.727367,7.41083,0.203727
442.5,-2.62774,0.725547,7.55361,0.215263
457.5,-2.20535,0.758977,7.6783,0.226831
472.5,-2.16692,0.827584,7.76113,0.235073
487.5,-2.87728,0.889768,7.84889,0.241399
502.5,-4.4865,0.959085,7.8971,0.242422
517.5,-6.31816,0.964756,8.00385,0.250308
532.5,-7.80752,0.941128,8.00109,0.253713
547.5,-8.5779,0.92985,7.90522,0.257941
562.5,-8.75905,0.927557,7.74121,0.265253
577.5,-8.01466,0.906312,7.50716,0.250759
592.5,-6.85183,0.902992,7.34514,0.232491
607.5,-5.29617,0.903324,7.36359,0.215607
622.5,-3.63323,0.888351,7.36906,0.206222
637.5,-1.94939,0.869933,7.38682,0.204989
652.5,-0.532536,0.856742,7.29233,0.21661
667.5,0.580994,0.848175,7.11077,0.247576
682.5,1.6316,0.860149,6.83427,0.282877
697.5,2.23229,0.910604,6.59564,0.33221
712.5,2.74028,0.958109,6.49186,0.358584
727.5,3.17758,0.953986,6.52676,0.369467
742.5,3.29208,0.945158,6.69979,0.372323
757.5,3.4516,0.939558,6.97235,0.357863
772.5,3.02652,0.95547,7.06809,0.326934
787.5,2.31927,0.976546,7.05,0.305026
802.5,1.68317,0.96299,6.91155,0.308582
817.5,1.37814,0.945596,6.74893,0.316412
832.5,1.18627,0.925963,6.63998,0.339975
847.5,0.707313,0.909607,6.71442,0.379145
862.5,-0.0261762,0.881118,6.83801,0.422168
877.5,-0.606373,0.82378,6.89408,0.464166
892.5,-1.06676,0.796419,7.01383,0.488271
907.5,-1.41262,0.75729,7.08058,0.463252
922.5,-1.56436,0.718474,7.269,0.419699
937.5,-1.47599,0.684283,7.41541,0.38511
952.5,-1.22679,0.635461,7.37002,0.342191
967.5,-0.990135,0.628428,7.32539,0.313418
982.5,-0.792211,0.612015,7.17626,0.27682
997.5,-0.663931,0.602513,7.12679,0.252262
1012.5,-0.746053,0.608322,7.12333,0.244467
1027.5,-0.572275,0.599632,7.12909,0.232436
1042.5,-0.158516,0.582522,7.13711,0.232731
1057.5,0.304696,0.559481,7.13564,0.229784
1072.5,0.796953,0.552092,7.18838,0.236866
1087.5,0.950258,0.544876,7.29828,0.248249
1102.5,0.771302,0.559827,7.37282,0.256374
1117.5,0.621883,0.531239,7.46256,0.266131
1132.5,0.359499,0.522295,7.50385,0.276938
1147.5,0.152782,0.527929,7.5105,0.309845
1162.5,0.192905,0.51794,7.48461,0.345722
1177.5,0.235153,0.527087,7.34903,0.373684
1192.5,0.440492,0.536247,7.02295,0.387972
1207.5,0.779916,0.548812,6.72961,0.369947
1222.5,1.08559,0.571716,6.47475,0.333892
1237.5,1.42446,0.586871,6.48638,0.334711
1252.5,1.55429,0.629673,6.45647,0.310218
1267.5,1.82896,0.657772,6.48453,0.308605
1282.5,1.8942,0.67357,6.51946,0.296059
1297.5,1.88941,0.671995,6.51953,0.274401
1312.5,2.0088,0.65795,6.61743,0.267897
1327.5,2.12621,0.64429,6.74718,0.27284
1342.5,2.44402,0.627288,6.96617,0.288634
1357.5,2.57731,0.624488,7.00452,0.297767
1372.5,2.66433,0.615843,6.87906,0.29113
1387.5,2.5431,0.600658,6.6935,0.27123
1402.5,2.3839,0.584256,6.60692,0.266923
1417.5,2.29609,0.568199,6.61772,0.276914
1432.5,2.43732,0.548244,6.60096,0.283467
1447.5,2.70073,0.541071,6.56032,0.313634
1462.5,2.86108,0.551301,6.57301,0.343973
1477.5,2.67204,0.56674,6.54574,0.32767
1492.5,2.15612,0.599587,6.54144,0.288789
