Database|Continent|Sample_ID|Pb207_Pb206|Pb207_Pb206_2sigma|Pb207_U235|Pb207_U235_2sigma|Pb206_U238|Pb206_U238_2sigma|Pb208_Th232|Pb208_Th232_2sigma|Age_Pb206_Pb207|Age_Pb206_Pb207_2sigma|Age_Pb207_U235|Age_Pb207_U235_2sigma|Age_Pb206_U238|Age_Pb206_U238_2sigma|Age_Pb208_Th232|Age_Pb208_Th232_2sigma|Discordance|Age|Age_2sigma|Th_U|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Yb176_Hf177|Hf176_Hf177_initial|eHf_initial|eHf_initial_2sigma|Tdm|Tdm_Crustal
TerraneChron|Africa|11668|0.18896|0.00378|13.66898|0.25142|0.52465|0.00972|0.14373|0.00258|2733.1309630783|34|2727.0498655483|16.3931665002|2718.8710750789|40.9978524006|2714.3982034544|45.5648999294|0.5217418482|2733.1309630783|34|0.4963676949|0.281123|0.00001|0.000369701|0.0101064|0.2811036455|2.4811318091|0.3557161812|2.8916196345|2.988707111
TerraneChron|Africa|11671|0.18707|0.00378|12.03585|0.21456|0.46659|0.00834|0.13045|0.00244|2716.5718099621|34|2607.2023702208|15.8753271338|2468.5897061245|36.582350134|2478.3382221362|43.6001396406|9.1284943372|2716.5718099621|34|0.4786250647|0.281158|0.0000082|0.00088971|0.0253033|0.2811117114|2.383763563|0.2916509578|2.8832819113|2.9821078956
TerraneChron|Africa|11672|0.18126|0.00368|12.75011|0.24952|0.51018|0.00994|0.13288|0.00258|2664.432703204|34|2661.3665269641|17.3639716638|2657.3978986009|42.3251866458|2521.7395236517|46.0012913956|0.2640263571|2664.432703204|34|0.3809794616|0.28115|0.00001|0.000730859|0.0231093|0.281112724|1.210480075|0.3556820203|2.8822223282|3.0165990014
TerraneChron|Africa|11674|0.18555|0.0037|13.23072|0.25696|0.51738|0.0101|0.13351|0.00242|2703.1137793597|34|2696.2512140441|17.2487363468|2688.0590710379|42.8007057906|2532.9765165954|43.1262396008|0.5569394983|2703.1137793597|34|0.3204741713|0.281134|0.0000078|0.000433297|0.0110064|0.2811115716|2.0665025034|0.2774477651|2.8816189621|2.9919299551
TerraneChron|Africa|11676|0.19071|0.00414|13.94483|0.30844|0.53036|0.01136|0.13474|0.00366|2748.2942061307|36|2745.9668179209|19.4891614512|2742.9685856224|47.7169244588|2554.8974189356|65.1331139052|0.1937791266|2748.2942061307|36|0.3841888278|0.281125|0.000013|0.000808745|0.0216448|0.2810824197|2.0779274758|0.4624277457|2.9218252087|3.0261481416
TerraneChron|Africa|11677|0.18681|0.0038|13.54228|0.28424|0.52531|0.01104|0.13107|0.0028|2714.2787424203|34|2718.2416292993|18.5569772796|2721.661035227|46.530021842|2489.4206639637|50.001026005|-0.2719799073|2714.2787424203|34|0.4376832501|0.281142|0.000011|0.000708506|0.0187693|0.2811051708|2.097822002|0.3912613555|2.8913414649|2.9985687331
TerraneChron|Africa|11678|0.19256|0.00406|14.07832|0.27626|0.53028|0.01018|0.16637|0.00398|2764.1506896288|36|2754.9961420909|17.4259367218|2742.6315886971|42.775208858|3110.5884138833|68.90157721|0.7785067946|2764.1506896288|36|0.353496844|0.28112|0.0000095|0.000542174|0.014699|0.2810912856|2.7617248599|0.3379339784|2.9084832649|2.9948072268
TerraneChron|Africa|11680|0.17872|0.00624|11.02069|0.29604|0.44724|0.01|0.12329|0.00286|2641.0282226146|60|2524.8812832265|23.3201548862|2382.9704708903|44.4318265534|2349.9116580989|51.4254383052|9.7711092034|2641.0282226146|60|0.5226466317|0.281144|0.0000085|0.000941184|0.0293869|0.2810964289|0.088413396|0.3023361694|2.90613175|3.0700500493
TerraneChron|Africa|11681|0.19068|0.00386|13.56536|0.24658|0.51605|0.00938|0.13637|0.00252|2748.0356168482|34|2719.8518626113|16.2097389924|2682.406241461|39.791570761|2583.9104900294|44.7941722844|2.3882287036|2748.0356168482|34|0.67050527|0.281143|0.000013|0.000869435|0.02541|0.2810972288|2.5988911763|0.462398139|2.9020706328|2.9927262393
TerraneChron|Africa|11683|0.18797|0.00386|13.30026|0.2534|0.51321|0.00968|0.14161|0.00256|2724.4810602887|34|2701.2009127469|16.9406845548|2670.3189187214|41.138218531|2676.8983684229|45.2958691812|1.9879801096|2724.4810602887|34|1.4044258773|0.281122|0.0000097|0.000425902|0.0124357|0.2810997756|2.1426357917|0.3450459231|2.8971284698|3.0036023797
TerraneChron|Africa|11684|0.1788|0.00358|11.84462|0.24162|0.48031|0.00984|0.1316|0.00252|2641.7712316648|34|2592.1968285817|18.0318453366|2528.615795661|42.7458985052|2498.8895491718|44.9829918336|4.28331699|2641.7712316648|34|0.4148021319|0.281151|0.0000075|0.000429559|0.0121614|0.2811292822|1.2743919059|0.2667605664|2.8585854006|2.9949948437
TerraneChron|Africa|11687|0.18988|0.00414|13.90482|0.30352|0.53092|0.01124|0.14742|0.004|2741.1225674171|36|2743.2448094357|19.2507789294|2745.3270709503|47.1970115526|2779.5036633984|70.391114253|-0.1533861923|2741.1225674171|36|0.4865937005|0.281146|0.0000083|0.000782575|0.0224943|0.2811049078|2.7116043124|0.295220277|2.8914876504|2.9801913186
TerraneChron|Africa|11688|0.18887|0.00394|13.44566|0.24904|0.51627|0.00938|0.17714|0.00388|2732.3467690649|36|2711.4728369039|16.4979067506|2683.3416382019|39.785797287|3296.3672092705|66.5574814246|1.7935179904|2732.3467690649|36|0.5125008287|0.281174|0.0000084|0.000562227|0.0174465|0.281144575|3.9193155313|0.2987473949|2.8374496425|2.8963874832
TerraneChron|Africa|11689|0.18181|0.00362|12.95479|0.26434|0.51663|0.01072|0.13891|0.00306|2669.4506268259|34|2676.369821298|18.0648706454|2684.8719947032|45.4435269472|2629.0381942752|54.2642985826|-0.5776981871|2669.4506268259|34|0.5444507692|0.281185|0.000011|0.000824452|0.0260566|0.2811428693|2.3993000344|0.3912015221|2.841870111|2.9446692142
TerraneChron|Africa|11690|0.15933|0.00648|9.37852|0.31256|0.42691|0.00998|0.11899|0.00286|2448.5628389396|70|2375.7306043395|28.4128560076|2291.7728743235|44.9749663074|2272.3899492545|51.6230534624|6.4033465722|2448.5628389396|70|0.6903454642|0.281168|0.0000068|0.0012924|0.0406111|0.2811075471|-3.9648806298|0.24184829|2.9000843917|3.1796581576
TerraneChron|Africa|11692|0.18342|0.00362|12.8663|0.22626|0.50878|0.00914|0.17143|0.00352|2684.0391650243|34|2669.9105812477|15.6962648982|2651.4190313738|38.9626066684|3198.0843805224|60.6818230092|1.2153374688|2684.0391650243|34|0.5979887673|0.281171|0.0000083|0.00062778|0.0199945|0.2811387398|2.5906702721|0.2951940278|2.8462904518|2.9437496598
TerraneChron|Africa|11694|0.18587|0.00384|13.1808|0.28546|0.51394|0.01114|0.14321|0.00328|2705.9575959466|34|2692.6830857511|19.1064743174|2673.4280361713|47.3029275988|2705.2065683891|57.9436898734|1.2021459547|2705.9575959466|34|0.4575161592|0.281132|0.0000083|0.00133481|0.0437326|0.2810628326|0.398320589|0.2952349786|2.9526347455|3.1005096853
TerraneChron|Africa|11696|0.18361|0.00534|11.85133|0.25756|0.46813|0.00904|0.12872|0.00264|2685.7510253142|50|2592.7271238572|19.1421225038|2475.3552433831|39.6043108648|2447.3824623096|47.2438657466|7.8337783342|2685.7510253142|50|0.4409171188|0.281112|0.0000091|0.00126358|0.0449849|0.2810470249|-0.632746689|0.3237143914|2.9744461798|3.150631258
TerraneChron|Africa|11697|0.18234|0.00366|11.35453|0.23084|0.45173|0.00936|0.11067|0.00228|2674.2694994042|34|2552.6961440201|17.9547618776|2402.9392341561|41.4661705558|2121.5449587158|41.468332522|10.1459581882|2674.2694994042|34|0.729476765|0.281157|0.0000059|0.000763831|0.0221164|0.2811178949|1.6224916435|0.2098471672|2.875231474|2.9979336959
TerraneChron|Africa|11698|0.17264|0.00556|10.36269|0.25656|0.43534|0.00894|0.12041|0.00254|2583.4028193213|54|2467.7211565578|21.570771855|2329.7453985181|40.0619506096|2298.0230368424|45.7926003906|9.818732832|2583.4028193213|54|0.626412223|0.281112|0.0000094|0.000674594|0.0219483|0.2810786655|-1.8774905678|0.3343862944|2.9291993365|3.1508429949
TerraneChron|Africa|11699|0.17274|0.00338|11.25887|0.21572|0.47261|0.00938|0.12957|0.00256|2584.3695594052|34|2544.8035300835|16.9682713302|2494.9965295067|40.9653681914|2462.5978641842|45.778674377|3.4582139994|2584.3695594052|34|0.4525442588|0.281137|0.000008|0.000644259|0.0184059|0.2811051522|-0.9129750512|0.2845587738|2.8932746382|3.0900835517
TerraneChron|Africa|11700|0.18418|0.0038|13.1334|0.25242|0.5167|0.00992|0.12814|0.00302|2690.874352226|34|2689.2834345736|17.078185343|2685.1695218386|42.0586530306|2436.993609896|54.0667738058|0.2120065689|2690.874352226|34|0.4105042158|0.281155|0.0000085|0.000545012|0.014787|0.2811269199|2.3286650235|0.3023243407|2.8617133309|2.9657447211
TerraneChron|Africa|11701|0.18958|0.0044|13.68384|0.33966|0.52289|0.01236|0.14574|0.0053|2738.5215201596|40|2728.0779503088|21.6934263558|2711.4252727453|52.159042967|2749.8881548565|93.374692688|0.9894480366|2738.5215201596|40|0.3586083423|0.281106|0.0000094|0.000661228|0.0180266|0.2810713134|1.4558069145|0.3343934317|2.936260386|3.0582616986
TerraneChron|Africa|11702|0.17521|0.00666|11.34896|0.33552|0.46978|0.01122|0.12975|0.00374|2608.0438083591|64|2552.2382586199|25.5038645076|2482.5961626208|49.0730861304|2465.8184802274|66.8494286868|4.8100283184|2608.0438083591|64|0.3405704771|0.281094|0.0000059|0.000770971|0.0275203|0.2810555308|-2.130259057|0.2098941991|2.9607876033|3.1860216961
TerraneChron|Africa|11703|0.17059|0.0062|10.2448|0.28782|0.43555|0.01006|0.12061|0.00332|2563.4399643183|62|2457.1313393619|24.281535318|2330.6884837499|45.0617334578|2301.6307205671|59.832558184|9.0796540511|2563.4399643183|62|0.3031510984|0.281169|0.0000074|0.00073228|0.0216699|0.2811331013|-0.4029671013|0.2631869089|2.8566891015|3.0413714136
TerraneChron|Africa|11704|0.19013|0.00534|13.72473|0.40964|0.52308|0.01382|0.16162|0.00716|2743.2864932904|48|2730.901551715|25.6977893986|2712.2294951744|58.2917841546|3028.1067725321|124.3617740164|1.1321091761|2743.2864932904|48|0.5182615965|0.281143|0.0000089|0.000489131|0.0152955|0.2811172955|3.2026514642|0.3165648798|2.8736910492|2.9505509956
TerraneChron|Africa|11705|0.17602|0.00348|12.21951|0.23998|0.50358|0.01018|0.12914|0.00248|2615.723188787|34|2621.4081014202|17.4080522724|2629.1631343076|43.5347946974|2454.902092424|44.365865856|-0.5138137544|2615.723188787|34|1.2051996272|0.281168|0.000013|0.000796797|0.0252952|0.2811281222|0.6298033921|0.462357025|2.8628195799|3.0159523037
