Database|Continent|Reference|Sample_ID|Age|d18O|d18O_2sigma|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-01|746|7.5|0.8|0.00116|0.282428|0.000039|3.5|1.4|1244
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-02|345|6.0|0.8|0.00123|0.282924|0.000031|12.3|1.1|345
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-03|248|7.2|0.8|0.00054|0.282925|0.000030|10.4|1.1|388
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-04|3135|6.8|0.8|0.00077|0.280755|0.000050|-1.8|1.8|3513
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-05a|555|7.1|0.9|0.00036|0.282230|0.000044|-7.4|1.5|1792
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-05b|566|6.9|0.8|0.00043|0.282250|0.000031|-6.5|1.1|1741
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-06|562|11.1|0.8|0.00033|0.282143|0.000026|-10.3|0.9|1985
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-07|25|8.3|0.8|0.00301|0.282791|0.000054|0.7|1.9|844
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-08|431|8.2|0.8|0.00110|0.282399|0.000032|-4.4|1.1|1499
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-09|236|6.3|0.8|0.00064|0.282626|0.000036|-0.5|1.3|1089
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-10a|609|9.4|0.8|0.00057|0.282427|0.000041|0.7|1.5|1314
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-10b|620|9.4|0.8|0.00048|0.282446|0.000026|1.6|0.9|1262
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-11|409|9.4|0.8|0.00115|0.282407|0.000060|-4.6|2.1|1494
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-12|241|6.0|0.8|0.00128|0.282839|0.000034|7.1|1.2|602
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-13|538|7.4|0.8|0.00044|0.282483|0.000028|1.1|1.0|1228
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-14|243|6.5|0.8|0.00105|0.282807|0.000036|6.0|1.3|673
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-15|349|6.0|0.7|0.00089|0.282799|0.000037|8.1|1.3|623
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-16|489|6.0|0.6|0.00034|0.281168|0.000028|-46.5|1.0|4191
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-17|468|7.5|0.6|0.00112|0.282404|0.000044|-3.4|1.6|1466
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-18|309|4.7|0.6|0.00115|0.282672|0.000043|2.6|1.5|946
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-19a|565|9.4|0.7|0.00076|0.282343|0.000036|-3.3|1.3|1537
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-19b|173|8.6|0.6|0.00052|0.282454|0.000038|-7.9|1.3|1523
