Database|Reference|Continent|Locality|Sample_ID|Age|Age_1sigma|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf(T)|Tdm_Crustal|d18O|d18O_2sigma|Comments
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D53-5-1|616||0.001997|0.282688|0.000012|9.5|0.94|6.36|0.15|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D53-6-1|616||0.000933|0.282678|0.000012|9.6|0.93|6.72|0.16|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D53-7-1|594||0.001056|0.282676|0.000012|9|0.95|6.34|0.21|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D53-8-1|622||0.001804|0.282668|0.000016|9|0.97|6.1|0.16|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D53-9-1|597||0.001983|0.282688|0.00001|9.1|0.95|6.84|0.2|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D53-10-1|628||0.002642|0.282653|0.000017|8.2|1.02|6.49|0.2|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D53-12-1|624||0.000652|0.282682|0.000017|10|0.91|6.24|0.24|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D54-2-1|577||0.001987|0.282648|0.000015|7.3|1.05|6.54|0.2|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D54-3-1|618||0.001622|0.28265|0.000014|8.3|1.01|5.91|0.23|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D54-4-1|622||0.000593|0.282683|0.000013|10|0.91|6.29|0.18|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D54-5-1|593||0.001984|0.282679|0.000012|8.7|0.97|5.87|0.19|Partial Melting of juvenile crust
Payne et al., 2016 LITHOS|Ali et al. (2015)|Africa|Saudi Arabia, Jabal Al-Hassir Pluton|D54-7-1|611||0.001733|0.2827|0.000018|9.9|0.9|6.14|0.19|Partial Melting of juvenile crust
