Database|Reference|Sample_ID|Comments|Age|d18O|d18O_2sigma
Payne et al., 2016 LITHOS|Ali et al. (2015)|D54|Iav|610.8|6.29|0.48
Payne et al., 2016 LITHOS|Ali et al. (2015)|D53|Iav|613.9|6.44|0.26
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YS-503|I|578.0|7.07|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|DV-82-87|I|583.0|5.82|0.06
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4403|I|586.0|5.46|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4516|I|586.0|5.43|0.05
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4546|I|586.0|5.59|0.07
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-99|I|588.0|6.23|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-198|I|590.0|7.23|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-197-1|I|590.0|6.45|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-8|I|590.0|5.48|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-9|I|590.0|5.50|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-84|I|590.0|5.66|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-149|I|590.0|5.49|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YS-1QA|I|590.0|6.68|0.05
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3896|I|591.0|5.06|0.00
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3968|I|591.0|5.34|0.11
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2695|I|592.0|5.25|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1518|I|594.0|4.90|0.00
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1351|I|594.0|4.88|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1384|I|594.0|4.62|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-52|I|595.0|6.49|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-149|I|595.0|6.36|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1805|I|595.0|4.49|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1886|I|596.0|5.25|0.08
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1885|I|596.0|5.01|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2120|I|597.0|6.19|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2199|I|597.0|6.10|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YS-400|I|597.0|8.04|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2839|I|599.0|5.89|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1588|I|600.0|5.16|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1709|I|600.0|5.29|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2364|I|600.0|6.50|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-98|I|600.0|6.35|0.10
