Database|Reference|Continent|Sample_ID|Sample_Type|Method|Provenance|Age_Method|Age|Discordance|Hf|Lu|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Lu176_Hf177_2sigma|Hf176_Hf177_initial|eHf_now|eHf_initial
UCLA|Belousova et al 2009|Australia|East Barton-111|Detrital zircon|LA-MC-ICP-MS|||1729|-5.4945054945|NaN|NaN|0.281544|0.0000098|0.000628434|NaN|0.2815233829|-43.8849302474|-5.6552539149
UCLA|Belousova et al 2009|Australia|Myall1-02|Detrital zircon|LA-MC-ICP-MS|||648|-5.4012345679|NaN|NaN|0.282416|0.000012|0.00208234|NaN|0.2823906545|-13.0487826441|0.5178049944
UCLA|Harrison et al 2008|Australia Jack Hills|RSES42-9.11|Detrital zircon|LA-MC-ICP-MS|Yilgarn|U-Pb zircon|4055|-5.2900966388|NaN|NaN|0.2800399983|0.0000155128528143|0.0010351435|0.000043108757211|0.2799585881|-97.0702720278|-6.5643550589
UCLA|Harrison et al 2008|Australia (Jack Hills)|RSES44-11.11|Detrital zircon|LA-MC-ICP-MS|Yilgarn|U-Pb zircon|4095|-5.2826280436|NaN|NaN|0.2800556898|0.0000127829018995|0.0002526575|0.0000099144779317|0.2800356156|-96.5153812156|-2.8485378216
UCLA|Guitreau et al. 2012|Brazil |SV9_5|Igneous zircon|LA-MC-ICP-MS|||3403.7813157163|-5.1294019543|NaN|NaN|0.2805880936|0.0000289350702423|0.000819906|0.0000120034369332|0.2805342985|-77.6882236906|-1.645261596
UCLA|Belousova et al 2009|Australia|EGC02-91|Detrital zircon|LA-MC-ICP-MS|||495|-5.0505050505|NaN|NaN|0.281822|0.000016|0.000375266|NaN|0.2818185158|-34.0541400711|-23.1712528236
UCLA|Wu et al 2008|China (Anshan)|05FW035-11|Igneous zircon|LA-MC-ICP-MS||U-Pb zircon|3315|-5|NaN|NaN|0.280814|0.000023|0.000811|NaN|0.2807622205|-69.6995950988|4.3636251049
UCLA|Wu et al 2008|China (Anshan)|05FW038-09|Igneous zircon|LA-MC-ICP-MS||U-Pb zircon|3312|-5|NaN|NaN|0.280644|0.000023|0.000928|NaN|0.2805848058|-75.7112293792|-2.0294949181
UCLA|Belousova et al 2010|Europe|1226|Detrital zircon|LA-MC-ICP-MS|||1942.0145391739|-4.9597964161|0.0893031059|NaN|0.28166|0.000021|0.00198057|NaN|0.281586872|NaN|1.4458204262
UCLA|Kemp et al 2010|Australia (Jack Hills)|jh14-148|Detrital zircon|LA-MC-ICP-MS concurrent Pb-Hf|||3988.7640241117|-4.9028824258|NaN|NaN|0.2801315887|0.0000199735983034|0.0008044126|0.0000639048552767|0.280069397|-93.8314008033|-4.2070902933
UCLA|Belousova et al 2010|Australia|13060|Detrital zircon|LA-MC-ICP-MS|||1023.1080205347|-4.8611496322|0.8334075149|NaN|0.282335|0.000011|0.000804589|NaN|0.2823194835|NaN|6.6545632091
UCLA|Kemp et al 2010|Australia (Jack Hills)|jh14-175.1|Detrital zircon|LA-MC-ICP-MS concurrent Pb-Hf|||4097.6680643036|-4.8091244451|NaN|NaN|0.280064459|0.0000295446611035|0.000776447|0.0000860261322957|0.2800027269|-96.2052795942|-3.9581778576
UCLA|Harrison et al 2008|Australia (Jack Hills)|RSES42-8.10|Detrital zircon|LA-MC-ICP-MS|Yilgarn|U-Pb zircon|4085|-4.7718093232|NaN|NaN|0.2800981492|0.0000122567677609|0.0008472859|0.000012303|0.2800310013|-95.0139064098|-3.2549061376
UCLA|Belousova et al 2010|S.America|10075|Detrital zircon|LA-MC-ICP-MS|||967.1715468331|-4.7547319689|0.2567851089|NaN|0.282261|0.000015|0.000800262|NaN|0.2822464183|NaN|2.812487011
UCLA|Kemp et al 2010|Australia (Jack Hills)|jh14-117.2|Detrital zircon|LA-MC-ICP-MS concurrent Pb-Hf|||3930.4025585402|-4.7395079405|NaN|NaN|0.2801269548|0.0000200542346843|0.0003918733|0.0000796940983005|0.2800971176|-93.9952678436|-4.6239918695
UCLA|Harrison et al 2008|Australia (Jack Hills)|RSES43-3.20|Detrital zircon|LA-MC-ICP-MS|Yilgarn|U-Pb zircon|4013|-4.7012832161|NaN|NaN|0.2800910973|0.0000142183337738|0.000416034|0.0000095870785642|0.2800587295|-95.2632806348|-4.003346007
UCLA|Harrison et al 2008|Australia (Jack Hills)|RSES43-3.20_2|Detrital zircon|LA-MC-ICP-MS|Yilgarn|U-Pb zircon|4013|-4.7012832161|NaN|NaN|0.280079811|0.0000125301760597|0.0003384345|0.00000296|0.2800534805|-95.6623934089|-4.1906961087
UCLA|Kemp et al 2010|Australia (Jack Hills)|jh14-118.1|Detrital zircon|LA-MC-ICP-MS concurrent Pb-Hf|||3985.5587443395|-4.691296376|NaN|NaN|0.2801065192|0.0000298842958901|0.0005022886|0.000009616302781|0.280067718|-94.7179249774|-4.3442899077
UCLA|Belousova et al 2010|Europe|1481|Detrital zircon|LA-MC-ICP-MS|||1623.7110885564|-4.6819933968|0.6252189105|NaN|0.281826|0.0000079|0.000923715|NaN|0.2817975691|NaN|1.6833029203
UCLA|Kemp et al 2010|Australia (Jack Hills)|jh14-190.1|Detrital zircon|LA-MC-ICP-MS concurrent Pb-Hf|||4295.4360336375|-4.6700789709|NaN|NaN|0.2800142889|0.0000437239446722|0.0016897791|0.000069473595943|0.2798731937|-97.9794236076|-3.7943380823
UCLA|Belousova et al 2009|Australia|EGC01-61|Detrital zircon|LA-MC-ICP-MS|||1161|-4.6511627907|NaN|NaN|0.282019|0.000013|0.000454663|NaN|0.2820090372|-27.0877168167|-1.4076595347
UCLA|Belousova et al 2010|Australia|10613|Detrital zircon|LA-MC-ICP-MS|||1160.8185065445|-4.6403137366|0.7034958339|NaN|0.282019|0.000013|0.000454663|NaN|0.2820090388|NaN|-1.2615467473
UCLA|Belousova et al 2010|Europe|1071|Detrital zircon|LA-MC-ICP-MS|||1920.6789640591|-4.637420703|0.6364561903|NaN|0.281722|0.000011|0.00265154|NaN|0.2816251929|NaN|2.3198322476
UCLA|Guitreau et al. 2012|Finland|H70_9|Igneous zircon|LA-MC-ICP-MS|||2732.732636994|-4.6303592232|NaN|NaN|0.2811010567|0.000081693|0.0006255225|0.0000110642457569|0.2810683143|-59.5485384677|1.497185175
