Reference,Sample ,U-Pb (Ma) , δ18O ,±2s
2,5.4,0.1,2.1,
2,5.4,0.1,2.8,
2,5.4,0.1,2.5,
2,5.4,0.2,2.5,
2,5.4,0.2,4.8,
2,5.4,0.2,2.9,
2,5.4,0.2,5,
2,5.4,0.2,5.5,
2,5.4,0.2,1.5,
2,5.4,0.5,3.2,
2,5.4,0.5,0,
2,5.4,0.5,1.6,
2,5.4,0.5,2.6,
2,5.4,0.5,0.5,
2,5.4,0.6,4.2,
2,5.4,0.6,3.9,
3,5.3,0.8,5.6,
3,5.3,0.8,5.8,
3,5.3,0.8,5.9,
3,5.3,0.8,5.9,
2,5.4,0.8,3.6,
2,5.4,0.9,4,
2,5.4,0.9,4.2,
58,DDH 508-232 ,1,6.6,
58,DDH 508-232 ,1,6.4,
58,DDH 508-232 ,1,6.6,
58,DDH 508-232 ,1,6.6,
58,DDH 508-232 ,1,6.2,
58,DDH 508-232 ,1.1,8.3,
58,DDH 508-232 ,1.1,6.6,
58,DDH 508-366 ,1.1,6.4,
58,DDH 508-232 ,1.1,5.6,
58,DDH 508-366 ,1.1,7.3,
58,DDH 508-232 ,1.1,5,
58,DDH 508-366 ,1.1,6.3,
58,DDH 508-366 ,1.1,6.6,
58,DDH 508-366 ,1.1,6.4,
58,DDH 508-366 ,1.1,5.6,
58,DDH 508-366 ,1.1,6.7,
58,DDH 508-232 ,1.1,7,
58,DDH 508-232 ,1.1,7.1,
58,DDH 508-232 ,1.1,6.5,
58,DDH 508-232 ,1.1,6.5,
58,DDH 508-366 ,1.1,5.5,
58,DDH 508-366 ,1.1,6.4,
58,DDH 508-232 ,1.1,6.4,
58,DDH 508-232 ,1.1,6.3,
58,DDH 508-232 ,1.1,7,
58,DDH 508-232 ,1.1,6.3,
58,DDH 508-232 ,1.1,6.2,
58,DDH 508-232 ,1.1,6.3,
58,DDH 508-232 ,1.1,6.2,
58,DDH 508-232 ,1.1,6.5,
2,5.4,1,3.8,
58,DDH 508-232 ,1.2,7.2,
58,DDH 508-232 ,1.2,6.7,
58,DDH 508-232 ,1.2,7.2,
58,DDH 508-232 ,1.2,6.6,
58,DDH 508-232 ,1.2,6.6,
58,DDH 508-232 ,1.2,5.9,
58,DDH 508-232 ,1.2,6.6,
58,DDH 508-232 ,1.2,6.1,
58,DDH 508-366 ,1.2,8.3,
58,DDH 508-366 ,1.2,6.6,
58,DDH 508-366 ,1.2,6.9,
2,5.4,1,3.6,
58,DDH 508-232 ,1.2,6.4,
58,DDH 508-232 ,1.2,6.5,
58,DDH 508-232 ,1.2,6.5,
58,DDH 508-232 ,1.2,6.3,
58,DDH 508-232 ,1.2,7.4,
58,DDH 508-232 ,1.2,6.9,
2,5.4,1,3.6,
58,DDH 508-232 ,1.3,6.4,
58,DDH 508-366 ,1.4,6.7,
58,DDH 508-232 ,1.5,6,
58,DDH 508-232 ,1.5,6.9,
58,DDH 508-232 ,1.5,6.5,
58,DDH 508-366 ,1.5,6.6,
58,DDH 508-232 ,1.5,5.6,
58,DDH 508-366 ,1.5,6.3,
2,5.4,2,1.6,
2,5.4,2,1.9,
2,5.4,2,5.2,
2,5.4,2,5.6,
4,5.2,11,4.4,
4,5.2,11,4.4,
4,5.2,12,6.5,
4,5.2,12,6.6,
4,5.2,12,4.4,
4,5.2,13,5.8,
4,5.2,13,5.9,
4,5.2,13,6.8,
4,5.2,13,6.9,
10,1746-07 ,25,8.3,0.8
65,BB-81 1 ,26,8,0.3
65,BB-81 11 ,26,7.2,0.3
65,BB-81 2 ,26,7.8,0.2
65,BB-81 3 ,26,8.1,0.2
65,BB-81 4 ,26,7.8,0.3
65,BB-81 5 ,26,7.2,0.3
65,BB-81 7 ,26,8,0.2
65,BB-81 8 ,26,7.6,0.4
65,BB-81 9 ,26,7.7,0.2
65,BB-86 1 ,26,7.8,0.2
65,BB-86 12 ,26,7.9,0.4
65,BB-86 14 ,26,7.5,0.3
65,BB-86 15 ,26,7.4,0.4
65,BB-86 17 ,26,8.4,0.4
65,BB-86 18 ,26,7.4,0.2
65,BB-86 19 ,26,7.3,0.2
65,BB-86 22 ,26,7.7,0.3
65,BB-86 3 ,26,8.8,0.2
65,BB-86 4 ,26,7.7,0.3
65,BB-86 6 ,26,7.8,0.3
26,96BR-017 ,27,7.9,
26,FCT ,28,5.6,
26,LC-15 ,28,6.1,
26,LC-2 ,28,5.5,
26,LC-33 ,28,6,
26,LC-34 ,28,6,
26,LC-5 ,28,5.8,
26,LC-9 ,28,6,
26,96BR-101 ,29,5.7,
26,96BR-105 ,29,5.8,
26,96BR-107 ,29,6.6,
26,96BR-108 ,29,4.9,
26,96BR-109 ,29,5.6,
26,96BR-110 ,29,5.2,
26,96BR-112 ,29,5.8,
26,96BR-114 ,29,6,
26,96BR-119 ,29,5.5,
26,BULL-1 ,29,5.3,
26,HIL-1 ,29,6,
26,HIL-10 ,29,6.5,
26,RM15 ,29,8.1,
26,RM20 ,29,5.3,
26,RM5 ,29,6,
65,BB-86 10 ,31,7.9,0.3
65,BB-86 21 ,31,6.7,0.3
26,95BR-130 ,32,7.1,
26,95BR-132 ,33,6.8,
65,BB-81 14 ,33,8.5,0.4
26,RM7 ,35,6.3,
26,RM6 ,36,7.7,
26,RM8 ,36,5.9,
26,95BR-140 ,37,6,
26,95BR-141 ,37,5.2,
26,95BR-142 ,37,6.2,
26,95BR-143 ,37,6.1,
26,95BR-144 ,37,6.2,
26,95BR-145 ,37,5.9,
