Locality	Unit 	Sample_ID	Age	Reference	d18O	Reference	SiO2	Reference	Lithology	
Yilgarn Craton	Jack Hills 	W74-1 	4010	1	6.8	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-10 	4150	1	5.6	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-2 	3380	1	6.1	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-8 	3400	1	7.4	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-9 	3450	1	5.6	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-4 	3520	1	6.8	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-17 	3390	1	6.5	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-19 	3380	1	6.9	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-18 	3440	1	5.7	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-20 	3600	1	6.2	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-6 	3510	1	6.5	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-5 	3570	1	6.7	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-14 	3490	1	5	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-7 	3510	1	5.5	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-33 	3390	1	6.7	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-34 	3460	1	6.3	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-35 	3280	1	6.2	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74-36 	3410	1	6.2	1			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/2-36 	4404	2	5.4	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/2-52 	4165	2	5.3	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-143 	4159	2	6.7	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-32 	4091	2	6.7	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-30 	4102	2	7.3	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-36 	3964	2	5.5	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-41 	4112	2	7.3	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-154 	4164	2	6.3	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-74 	4035	2	5.6	2			Detrital zircons - metaconglomerate 	
Yilgarn Craton	Jack Hills 	W74/3-13 	4008	2	6.3	2			Detrital zircons - metaconglomerate 	
